standard,nutrient_key,display_name,category,life_stage_group,age_min_months,age_max_months,unit,rda_value,ai_value,ul_value,source_files
DRI_US_CA,MANGANESE,Manganese,MINERAL,BREASTFEEDING,217,360,μg,,2600,11000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,BREASTFEEDING,361,600,μg,,2600,11000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,CHILD,13,36,μg,17,,300,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,CHILD,37,96,μg,22,,600,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,MALE,97,156,μg,34,,1100,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,MALE,157,216,μg,43,,1700,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,MALE,217,360,μg,45,,2000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,MALE,361,600,μg,45,,2000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,MALE,601,840,μg,45,,2000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,MALE,841,9999,μg,45,,2000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,FEMALE,97,156,μg,34,,1100,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,FEMALE,157,216,μg,43,,1700,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,FEMALE,217,360,μg,45,,2000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,FEMALE,361,600,μg,45,,2000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,FEMALE,601,840,μg,45,,2000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,FEMALE,841,9999,μg,45,,2000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,PREGNANT,157,216,μg,50,,1700,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,PREGNANT,217,360,μg,50,,2000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,PREGNANT,361,600,μg,50,,2000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,BREASTFEEDING,157,216,μg,50,,1700,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,BREASTFEEDING,217,360,μg,50,,2000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,BREASTFEEDING,361,600,μg,50,,2000,rec_elements.csv; upper_elements.csv
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,CHILD,13,36,μg,460000,,3000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,CHILD,37,96,μg,500000,,3000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,MALE,97,156,μg,1250000,,4000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,MALE,157,216,μg,1250000,,4000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,MALE,217,360,μg,700000,,4000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,MALE,361,600,μg,700000,,4000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,MALE,601,840,μg,700000,,4000000,rec_elements.csv; upper_elements.csv
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,MALE,841,9999,μg,700000,,3000000,rec_elements.csv; upper_elements.csv
